stashpoint_id,paid_bookings,total_revenue_gbp,net_revenue_gbp,bookings_30d,revenue_30d_gbp,bookings_90d,revenue_90d_gbp,avg_bags,cancelled
0003b1322f8f,1,14.84,10.01,0,0,1,14.84,4.0,0
0009de18fb0f,685,6999.11,3697.84,33,267.93,84,670.68,1.5,29
000a0322c96f,0,0,0,0,0,0,0,0,2
000b504f2c1f,3,34.08,21.35,0,0,0,0,2.0,1
00107e2eee73,3,19.86,11.97,0,0,0,0,1.7,0
001f53cee74d,13,60.08,43.05,1,4.29,1,4.29,1.4,3
00211b92ddce,1,47.17,33.35,0,0,1,47.17,1.0,0
004b9385fb85,2,12.54,7.54,0,0,0,0,1.0,0
004d3aad4cce,0,0,0,0,0,0,0,0,1
004f996d3dc0,0,0,0,0,0,0,0,0,1
0059982025d3,20,412.80,202.80,0,0,0,0,3.5,5
005c765cac7e,218,4321.22,2694.27,0,0,0,0,3.0,10
0062b4c2bf42,40,601.16,387.73,2,26.46,3,38.57,2.5,4
006ba16271bc,67,1079.47,690.66,3,36.10,9,99.96,3.2,6
0075c1fd48bd,0,0,0,0,0,0,0,0,2
00787f7cf831,7,85.14,51.46,0,0,0,0,2.3,2
00844d10a428,3,46.16,29.05,0,0,0,0,2.7,1
0091eb451158,10,190.71,128.64,0,0,0,0,3.0,0
00928efa87f5,22,277.18,180.55,1,0.00,6,69.98,2.5,2
009451d48b15,1,10.79,6.91,0,0,0,0,2.0,0
00a0e00a3a25,11,330.09,163.89,0,0,0,0,3.3,4
00a3928aebbe,26,452.98,264.68,0,0,1,6.58,2.9,4
00a4512266dc,1,6.68,4.18,0,0,0,0,1.0,0
00aa6b675128,736,9350.95,4946.81,4,49.44,13,180.60,1.9,18
00b5e491b1cd,0,0,0,0,0,0,0,0,2
00b8f61487ac,60,1362.54,924.39,1,46.88,5,293.89,2.1,9
00cf8463c393,3,33.40,20.90,0,0,0,0,1.7,3
00da8299b04d,3,20.93,12.22,0,0,0,0,1.3,1
00e4f0229d98,8,135.45,89.75,0,0,0,0,1.9,4
00e8c8f78118,41,555.26,399.72,0,0,0,0,2.0,12
