name,type,country,city,details,coordinates,latitude,longitude,searches_within_500m,conversions_within_500m,conversion_rate,stashpoints_within_500m
King's Cross Station,Train Station,United Kingdom,London,"A major railway and underground station, serving as a hub for national and international travel.","51.53068649999999, -0.1233551",51.5306865,-0.1233551,5328,512,0.0960960961,19
St Pancras International,Train Station,United Kingdom,London,,"51.5311162, -0.1258659",51.5311162,-0.1258659,5272,510,0.09673748103,17
London King's Cross,Train Station,United Kingdom,London,,"51.53160339999999, -0.1235978",51.5316034,-0.1235978,5239,495,0.09448368009,16
National Gallery,Museum,United Kingdom,London,"One of the world's most prestigious art museums, housing a collection of over 2,300 paintings from the 13th to 19th centuries.","51.50892899999999, -0.128299",51.508929,-0.128299,3040,270,0.08881578947,7
Charing Cross,Train Station,United Kingdom,London,,"51.512427, -0.128646",51.512427,-0.128646,2768,303,0.1094653179,15
Trafalgar Square,City Center,United Kingdom,London,"A vibrant public square and popular meeting place, surrounded by historic buildings and famous landmarks.","51.508039, -0.128069",51.508039,-0.128069,2608,231,0.08857361963,6
London Victoria,Train Station,United Kingdom,London,,"51.49554149999999, -0.1435602",51.4955415,-0.1435602,2577,196,0.07605743112,13
Victoria Coach Station,Bus Station,United Kingdom,London,"The largest and busiest bus station in London, serving national and international routes.","51.4925005, -0.1481615",51.4925005,-0.1481615,2376,177,0.07449494949,9
Edinburgh Waverley,Train Station,United Kingdom,Edinburgh,,"55.9524097, -3.1883014",55.9524097,-3.1883014,2287,176,0.07695671185,14
Wembley Stadium,Stadium,United Kingdom,London,,"51.55602469999999, -0.2796177",51.5560247,-0.2796177,2141,342,0.15973844,2
Covent Garden,City Center,United Kingdom,London,"A bustling shopping and entertainment district, known for its street performers, markets, and restaurants.","51.5116571, -0.1240436",51.5116571,-0.1240436,2063,217,0.1051866214,12
Piccadilly Circus,City Center,United Kingdom,London,"An iconic intersection and popular gathering spot, surrounded by shops, restaurants, and theatres.","51.5098597, -0.1342809",51.5098597,-0.1342809,1962,212,0.1080530071,8
London Euston,Train Station,United Kingdom,London,,"51.5280408, -0.1333271",51.5280408,-0.1333271,1755,217,0.1236467236,15
Paddington Station,Train Station,United Kingdom,London,"A major railway and underground station, serving as a hub for national and international travel.","51.5166744, -0.1769328",51.5166744,-0.1769328,1641,169,0.1029859842,21
Royal Opera House,Theatre,United Kingdom,London,,"51.5129211, -0.1221976",51.5129211,-0.1221976,1401,143,0.10206995,15
Victoria Palace Theatre,Theatre,United Kingdom,London,,"51.4966569, -0.14258",51.4966569,-0.14258,1310,116,0.08854961832,11
London Liverpool Street,Train Station,United Kingdom,London,,"51.5174665, -0.0826359",51.5174665,-0.0826359,1184,126,0.1064189189,7
Amsterdam Centraal Station,,Netherlands,Amsterdam,,"52.3791283, 4.900272",52.3791283,4.900272,1160,75,0.06465517241,5
Amsterdam Centraal Station,Train Station,Netherlands,Amsterdam,"The largest and busiest train station in Amsterdam, serving both domestic and international routes.","52.3791283, 4.900272",52.3791283,4.900272,1160,75,0.06465517241,5
Amsterdam Centraal Bus Station,Bus Station,Netherlands,Amsterdam,"The largest and busiest bus station in Amsterdam, serving both national and international routes.","52.37963999999999, 4.90076",52.37964,4.90076,1155,75,0.06493506494,4
