stashpoint_id,hours
0003b1322f8f,0:08:00-20:00|1:08:00-20:00|2:08:00-20:00|3:08:00-20:00|4:08:00-20:00
0009de18fb0f,0:07:00-23:00|1:07:00-23:00|2:07:00-23:00|3:07:00-23:00|4:07:00-23:00|5:07:00-23:00|6:07:00-23:00
000b504f2c1f,0:10:00-13:30|0:17:00-21:30|1:10:00-13:30|1:17:00-21:30|2:10:00-13:30|2:17:00-21:30|3:10:00-13:30|3:17:00-21:30|4:10:00-13:30|4:17:00-21:30|5:10:00-13:30|5:17:00-21:30|6:10:00-13:30|6:17:00-21:30
00107e2eee73,0:14:00-00:00|1:14:00-00:00|2:14:00-00:00|3:14:00-00:00|4:14:00-00:00|5:14:00-00:00|6:14:00-00:00
001f53cee74d,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
001f7b5ce7d8,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
00211b92ddce,0:07:00-19:00|1:07:00-19:00|2:07:00-19:00|3:07:00-19:00|4:07:00-19:00|5:08:00-17:00|6:10:00-15:00
002129a5f394,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
0022adb8ea35,0:12:00-21:00|1:12:00-21:00|2:12:00-21:00|3:12:00-21:00|4:12:00-21:00|5:12:00-21:00|6:12:00-21:00
003277f163eb,0:08:00-20:00|1:08:00-20:00|2:08:00-20:00|3:08:00-20:00|4:08:00-20:00|5:08:00-20:00
004b9385fb85,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
004d3aad4cce,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
004f996d3dc0,0:07:00-23:00|1:07:00-23:00|2:07:00-23:00|3:07:00-23:00|4:07:00-23:00|5:07:00-23:00|6:07:00-23:00
0056b7ff5e14,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
0059982025d3,0:10:00-18:00|1:10:00-18:00|2:10:00-18:00|3:10:00-18:00|4:10:00-18:00|5:10:00-18:00|6:10:00-18:00
005c765cac7e,0:09:00-17:00|1:09:30-17:00|2:09:30-17:00|3:09:30-17:00|4:09:00-17:00|5:10:00-14:30
005dfde88152,0:09:00-12:00|0:17:00-19:00|1:09:00-12:00|1:17:00-19:00|2:09:00-12:00|2:17:00-19:00|3:09:00-12:00|3:17:00-19:00|4:09:00-12:00|4:17:00-19:00
0062b4c2bf42,0:07:00-23:00|1:07:00-23:00|2:07:00-23:00|3:07:00-23:00|4:07:00-23:00|5:07:00-23:00|6:07:00-23:00
006a7825c764,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
006ba16271bc,0:11:00-17:30|1:11:00-17:30|2:11:00-17:30|3:11:00-17:30|4:11:00-17:30|5:11:00-16:30|6:12:00-16:30
006ffbaf1653,0:07:00-23:59|1:07:00-23:59|2:07:00-23:59|3:07:00-23:59|4:07:00-22:00|5:07:00-22:00|6:07:00-22:00
007546397339,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
0075c1fd48bd,0:10:00-20:00|1:10:00-20:00|2:10:00-20:00|3:10:00-20:00|4:10:00-20:00
00787f7cf831,1:10:00-19:00|2:10:00-19:00|3:10:00-19:00|4:10:00-19:00|5:10:00-19:00
00806a6b3a47,0:07:30-15:00|1:07:30-15:00|2:07:30-15:00|3:07:30-15:00|4:07:30-15:00|5:07:30-15:00
00844d10a428,0:09:00-19:00|1:09:00-19:00|2:09:00-19:00|3:09:00-19:00|4:09:00-19:00|5:09:00-13:00
00928efa87f5,0:10:00-18:00|1:10:00-18:00|2:10:00-18:00|3:10:00-18:00|4:10:00-18:00|5:10:00-18:00|6:10:00-18:00
009451d48b15,0:07:00-20:00|1:07:00-20:00|2:07:00-20:00|3:07:00-20:00|4:07:00-20:00|5:07:00-20:00|6:07:00-20:00
00a0e00a3a25,0:08:00-20:00|1:08:00-20:00|2:08:00-20:00|3:08:00-20:00|4:08:00-20:00|5:08:00-20:00
00a3928aebbe,0:09:00-21:00|1:09:00-21:00|2:09:00-21:00|3:09:00-21:00|4:09:00-21:00|5:09:00-21:00|6:10:00-20:00
00a4512266dc,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
00a5a8e254ee,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
00aa6b675128,0:07:00-23:00|1:07:00-23:00|2:07:00-23:00|3:07:00-23:00|4:07:00-23:00|5:07:00-23:00|6:07:00-23:00
00b2a93562b3,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
00b5e491b1cd,1:08:30-17:00|2:08:30-17:00|3:08:30-17:00|4:08:30-17:00|5:08:30-17:00|6:08:30-17:00
00b8f61487ac,0:08:30-22:00|1:08:00-22:00|2:08:00-22:00|3:08:00-22:00|4:08:00-22:00|5:08:30-22:00|6:08:30-22:00
00c944000591,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
00caf7cbb364,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00|5:00:00-00:00|6:00:00-00:00
00d6cc55002f,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
00d922f0cff5,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
00da8299b04d,0:07:00-20:00|1:07:00-20:00|2:07:00-20:00|3:07:00-20:00|4:07:00-20:00|6:07:00-14:00
00e4f0229d98,0:09:00-19:00|1:09:00-19:00|2:09:00-19:00|3:09:00-19:00|4:09:00-14:00
00e76f855269,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
00e7a3b16975,0:00:00-00:00|1:00:00-00:00|2:00:00-00:00|3:00:00-00:00|4:00:00-00:00
